instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,weather_name,year_name,weekday_name,temp_c,atemp_c,hum_pct,windspeed_kmh,temp_group
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Spring,Mist/Cloudy,2011,Sat,14.11,18.18,80.58,10.75,Mild (12-22°C)
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Spring,Mist/Cloudy,2011,Sun,14.9,17.69,69.61,16.65,Mild (12-22°C)
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Spring,Clear/Partly Cloudy,2011,Mon,8.05,9.47,43.73,16.64,Cold (<12°C)
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Spring,Clear/Partly Cloudy,2011,Tue,8.2,10.61,59.04,10.74,Cold (<12°C)
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Spring,Clear/Partly Cloudy,2011,Wed,9.31,11.46,43.7,12.52,Cold (<12°C)
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Spring,Clear/Partly Cloudy,2011,Thu,8.38,11.66,51.83,6.0,Cold (<12°C)
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Spring,Mist/Cloudy,2011,Fri,8.06,10.44,49.87,11.3,Cold (<12°C)
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Spring,Mist/Cloudy,2011,Sat,6.76,8.11,53.58,17.88,Cold (<12°C)
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Spring,Clear/Partly Cloudy,2011,Sun,5.67,5.81,43.42,24.25,Cold (<12°C)
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Spring,Clear/Partly Cloudy,2011,Mon,6.18,7.54,48.29,14.96,Cold (<12°C)
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Spring,Mist/Cloudy,2011,Tue,6.93,9.57,68.64,8.18,Cold (<12°C)
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Spring,Clear/Partly Cloudy,2011,Wed,7.08,8.02,59.95,20.41,Cold (<12°C)
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Spring,Clear/Partly Cloudy,2011,Thu,6.76,7.54,47.04,20.17,Cold (<12°C)
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Spring,Clear/Partly Cloudy,2011,Fri,6.6,9.42,53.78,8.48,Cold (<12°C)
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Spring,Mist/Cloudy,2011,Sat,9.57,12.41,49.88,10.58,Cold (<12°C)
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Spring,Clear/Partly Cloudy,2011,Sun,9.5,11.71,48.38,12.63,Cold (<12°C)
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Spring,Mist/Cloudy,2011,Mon,7.21,8.84,53.75,13.0,Cold (<12°C)
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Spring,Mist/Cloudy,2011,Tue,8.88,11.62,86.17,9.83,Cold (<12°C)
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Spring,Mist/Cloudy,2011,Wed,11.98,14.92,74.17,13.96,Cold (<12°C)
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Spring,Mist/Cloudy,2011,Thu,10.73,12.75,53.83,13.13,Cold (<12°C)
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Spring,Clear/Partly Cloudy,2011,Fri,7.28,7.89,45.71,23.67,Cold (<12°C)
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Spring,Clear/Partly Cloudy,2011,Sat,2.42,3.95,40.0,11.52,Cold (<12°C)
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Spring,Clear/Partly Cloudy,2011,Sun,3.96,4.94,43.65,16.52,Cold (<12°C)
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Spring,Clear/Partly Cloudy,2011,Mon,3.99,5.9,49.17,10.61,Cold (<12°C)
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Spring,Mist/Cloudy,2011,Tue,9.16,11.73,61.7,8.7,Cold (<12°C)
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Spring,Light Snow/Rain,2011,Wed,8.92,10.18,86.25,19.69,Cold (<12°C)
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Spring,Clear/Partly Cloudy,2011,Thu,8.0,10.98,68.75,7.63,Cold (<12°C)
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Spring,Mist/Cloudy,2011,Fri,8.34,11.17,79.3,8.26,Cold (<12°C)
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Spring,Clear/Partly Cloudy,2011,Sat,8.06,10.61,65.17,9.74,Cold (<12°C)
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Spring,Clear/Partly Cloudy,2011,Sun,8.88,12.52,72.22,4.96,Cold (<12°C)
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Spring,Mist/Cloudy,2011,Mon,7.41,9.31,60.38,12.54,Cold (<12°C)
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Spring,Mist/Cloudy,2011,Tue,7.88,11.73,82.96,3.57,Cold (<12°C)
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Spring,Mist/Cloudy,2011,Wed,10.66,12.72,77.54,17.71,Cold (<12°C)
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Spring,Clear/Partly Cloudy,2011,Thu,7.67,8.89,43.78,18.61,Cold (<12°C)
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Spring,Mist/Cloudy,2011,Fri,8.66,11.43,58.52,8.57,Cold (<12°C)
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Spring,Mist/Cloudy,2011,Sat,9.57,12.15,92.92,10.79,Cold (<12°C)
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Spring,Clear/Partly Cloudy,2011,Sun,11.72,14.58,56.83,9.5,Cold (<12°C)
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Spring,Clear/Partly Cloudy,2011,Mon,11.14,15.18,73.83,3.04,Cold (<12°C)
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Spring,Clear/Partly Cloudy,2011,Tue,9.05,9.91,53.79,24.25,Cold (<12°C)
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Spring,Mist/Cloudy,2011,Wed,5.53,7.21,49.48,12.65,Cold (<12°C)
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Spring,Clear/Partly Cloudy,2011,Thu,5.92,7.48,43.74,14.87,Cold (<12°C)
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Spring,Clear/Partly Cloudy,2011,Fri,7.75,10.68,50.64,7.27,Cold (<12°C)
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Spring,Clear/Partly Cloudy,2011,Sat,9.12,11.65,54.42,13.63,Cold (<12°C)
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Spring,Clear/Partly Cloudy,2011,Sun,12.98,16.21,45.74,17.48,Mild (12-22°C)
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Spring,Clear/Partly Cloudy,2011,Mon,17.02,19.92,37.58,28.0,Mild (12-22°C)
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Spring,Clear/Partly Cloudy,2011,Tue,10.91,12.71,31.43,19.52,Cold (<12°C)
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Spring,Clear/Partly Cloudy,2011,Wed,13.05,15.81,42.35,16.87,Mild (12-22°C)
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Spring,Clear/Partly Cloudy,2011,Thu,17.87,21.43,50.5,15.42,Mild (12-22°C)
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Spring,Clear/Partly Cloudy,2011,Fri,21.39,25.6,51.67,17.75,Mild (12-22°C)
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Spring,Clear/Partly Cloudy,2011,Sat,16.37,19.57,18.79,34.0,Mild (12-22°C)
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Spring,Clear/Partly Cloudy,2011,Sun,11.69,13.87,40.78,14.96,Cold (<12°C)
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Spring,Mist/Cloudy,2011,Mon,12.44,14.2,60.5,20.63,Mild (12-22°C)
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Spring,Clear/Partly Cloudy,2011,Tue,7.47,9.3,57.78,13.11,Cold (<12°C)
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Spring,Clear/Partly Cloudy,2011,Wed,9.09,12.29,42.3,6.31,Cold (<12°C)
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Spring,Mist/Cloudy,2011,Thu,12.12,14.46,69.74,16.78,Mild (12-22°C)
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Spring,Mist/Cloudy,2011,Fri,14.94,17.52,71.22,23.22,Mild (12-22°C)
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Spring,Clear/Partly Cloudy,2011,Sat,11.58,14.11,53.79,12.5,Cold (<12°C)
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Spring,Clear/Partly Cloudy,2011,Sun,14.08,17.56,68.0,8.39,Mild (12-22°C)
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Spring,Mist/Cloudy,2011,Mon,16.7,20.01,87.64,19.41,Mild (12-22°C)
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Spring,Clear/Partly Cloudy,2011,Tue,10.93,13.19,53.5,14.5,Cold (<12°C)
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Spring,Clear/Partly Cloudy,2011,Wed,13.74,16.0,44.96,20.62,Mild (12-22°C)
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Spring,Clear/Partly Cloudy,2011,Thu,8.13,10.01,31.83,15.13,Cold (<12°C)
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Spring,Mist/Cloudy,2011,Fri,10.73,12.78,61.04,13.62,Cold (<12°C)
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Spring,Mist/Cloudy,2011,Sat,15.75,18.94,78.92,16.88,Mild (12-22°C)
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Spring,Mist/Cloudy,2011,Sun,15.44,18.31,94.83,23.0,Mild (12-22°C)
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Spring,Clear/Partly Cloudy,2011,Mon,10.73,11.92,55.13,22.87,Cold (<12°C)
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Spring,Clear/Partly Cloudy,2011,Tue,11.99,15.12,42.08,8.08,Cold (<12°C)
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Spring,Mist/Cloudy,2011,Wed,12.13,14.33,77.54,14.75,Mild (12-22°C)
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Spring,Light Snow/Rain,2011,Thu,15.95,19.28,0.0,17.55,Mild (12-22°C)
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Spring,Mist/Cloudy,2011,Fri,12.98,15.25,64.96,15.61,Mild (12-22°C)
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Spring,Clear/Partly Cloudy,2011,Sat,13.5,16.29,59.46,14.79,Mild (12-22°C)
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Spring,Clear/Partly Cloudy,2011,Sun,15.76,19.0,52.74,18.13,Mild (12-22°C)
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Spring,Clear/Partly Cloudy,2011,Mon,13.33,16.6,49.7,9.17,Mild (12-22°C)
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Spring,Mist/Cloudy,2011,Tue,13.01,15.91,65.57,12.35,Mild (12-22°C)
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Spring,Mist/Cloudy,2011,Wed,14.97,18.35,77.65,13.61,Mild (12-22°C)
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Spring,Clear/Partly Cloudy,2011,Thu,17.02,20.52,60.29,14.04,Mild (12-22°C)
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Spring,Clear/Partly Cloudy,2011,Fri,22.14,26.35,52.52,15.48,Warm (>22°C)
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Spring,Clear/Partly Cloudy,2011,Sat,19.37,23.33,37.92,24.67,Mild (12-22°C)
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Spring,Clear/Partly Cloudy,2011,Sun,13.63,16.29,47.38,13.92,Mild (12-22°C)
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,Mist/Cloudy,2011,Mon,17.65,20.49,73.74,19.35,Mild (12-22°C)
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,Clear/Partly Cloudy,2011,Tue,18.11,22.03,62.46,15.13,Mild (12-22°C)
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,Mist/Cloudy,2011,Wed,14.23,16.9,83.96,15.7,Mild (12-22°C)
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,Mist/Cloudy,2011,Thu,11.68,13.54,80.58,16.33,Cold (<12°C)
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,Clear/Partly Cloudy,2011,Fri,10.83,12.82,49.5,15.46,Cold (<12°C)
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,Clear/Partly Cloudy,2011,Sat,10.9,12.88,39.42,14.04,Cold (<12°C)
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,Mist/Cloudy,2011,Sun,10.37,12.52,49.39,12.35,Cold (<12°C)
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,Clear/Partly Cloudy,2011,Mon,10.84,12.88,30.22,14.22,Cold (<12°C)
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,Clear/Partly Cloudy,2011,Tue,12.4,14.65,31.42,15.21,Mild (12-22°C)
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,Mist/Cloudy,2011,Wed,12.3,14.87,64.67,11.58,Mild (12-22°C)
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,Light Snow/Rain,2011,Thu,11.0,12.88,91.83,14.58,Cold (<12°C)
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,Mist/Cloudy,2011,Fri,12.3,14.17,68.62,17.33,Mild (12-22°C)
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,Mist/Cloudy,2011,Sat,12.92,15.78,65.38,13.21,Mild (12-22°C)
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,Clear/Partly Cloudy,2011,Sun,15.51,18.94,48.0,12.21,Mild (12-22°C)
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,Clear/Partly Cloudy,2011,Mon,23.51,27.15,42.62,25.83,Warm (>22°C)
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,Mist/Cloudy,2011,Tue,16.98,19.92,64.21,26.0,Mild (12-22°C)
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,Clear/Partly Cloudy,2011,Wed,16.02,19.38,47.08,17.63,Mild (12-22°C)
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,Clear/Partly Cloudy,2011,Thu,17.94,21.68,60.29,10.87,Mild (12-22°C)
